Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.446000,-21.844000,0.000000,top
"C102","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.614500,-23.876000,180.000000,top
"C103","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",10.795000,-50.927000,-90.000000,top
"C104","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.636000,-21.844000,180.000000,top
"C105","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.224000,-37.592000,-90.000000,top
"C106","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",10.795000,-62.484000,-90.000000,top
"C108","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.018000,-51.130200,-90.000000,top
"C109","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.018000,-54.918700,-90.000000,top
"C110","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.321000,-75.438000,-90.000000,top
"C201","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",24.257000,-38.100000,180.000000,top
"C202","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.224000,-42.037000,90.000000,top
"C203","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.305000,-43.561000,-90.000000,top
"C206","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.018000,-43.561000,90.000000,top
"C207","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.305000,-39.624000,90.000000,top
"C301","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.224000,-67.585500,90.000000,top
"C302","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.305000,-59.436000,90.000000,top
"C303","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.224000,-55.245000,-90.000000,top
"C304","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.796630,-75.438000,90.000000,top
"C305","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.558810,-75.438000,90.000000,top
"C306","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.034450,-75.438000,90.000000,top
"C309","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.018000,-63.754000,-90.000000,top
"C310","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.305000,-63.373000,90.000000,top
"C401","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",9.272270,-75.438000,90.000000,top
"C402","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.448000,-23.749000,-90.000000,top
"C403","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.350000,-91.440000,0.000000,top
"C404","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",10.541000,-84.963000,90.000000,top
"C408","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",2.159000,-75.438000,-90.000000,top
"C409","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",2.434500,-91.440000,180.000000,top
"C410","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.448000,-27.686000,-90.000000,top
"D201","BAV99","SOT-23",3.048000,-36.322000,0.000000,top
"D202","BAV99","SOT-23",3.048000,-39.878000,0.000000,top
"D203","BAV99","SOT-23",3.048000,-43.434000,0.000000,top
"D204","BAV99","SOT-23",3.048000,-46.990000,0.000000,top
"D401","S1A","D_SMA",4.445000,-94.564200,0.000000,top
"D402","S1A","D_SMA",4.445000,-98.120200,180.000000,top
"D403","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.448000,-19.812000,90.000000,top
"D404","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.764000,-27.686000,-90.000000,top
"J101","Conn_01x06","PinHeader_1x05_P2.54mm_Vertical",17.540000,-31.600000,90.000000,top
"J102","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",2.300000,-71.500000,90.000000,top
"J103","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",17.540000,-71.500000,90.000000,top
"J104","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",17.531000,-79.250000,90.000000,top
"J105","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",2.300000,-79.250000,90.000000,top
"J106","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",17.540000,-35.000000,90.000000,top
"J401","Conn_02x05_Odd_Even","IDC-Header_2x05_P2.54mm_Horizontal",24.384000,-82.440500,-90.000000,top
"R101","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",12.446000,-23.876000,0.000000,top
"R102","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.256000,-21.844000,0.000000,top
"R103","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.256000,-23.876000,0.000000,top
"R104","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.795000,-54.864000,-90.000000,top
"R105","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.795000,-58.674000,90.000000,top
"R106","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.224000,-51.308000,-90.000000,top
"R107","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.795000,-66.421000,-90.000000,top
"R108","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",25.939900,-75.438000,-90.000000,top
"R201","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",5.842000,-32.004000,-90.000000,top
"R202","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.255000,-31.988000,-90.000000,top
"R203","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.795000,-32.004000,-90.000000,top
"R204","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",20.447000,-38.100000,180.000000,top
"R205","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.018000,-47.371000,-90.000000,top
"R206","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.305000,-47.498000,-90.000000,top
"R207","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.018000,-39.751000,90.000000,top
"R208","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.224000,-45.974000,-90.000000,top
"R209","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.686000,-51.308000,90.000000,top
"R301","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.224000,-63.754000,-90.000000,top
"R302","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.686000,-55.610000,-90.000000,top
"R303","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.224000,-59.182000,90.000000,top
"R304","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.018000,-67.585500,-90.000000,top
"R305","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.305000,-67.310000,-90.000000,top
"R306","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.018000,-58.801000,90.000000,top
"R307","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.415540,-75.438000,-90.000000,top
"R308","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21.177720,-75.438000,-90.000000,top
"R309","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.653360,-75.438000,-90.000000,top
"R401","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6.891180,-75.438000,90.000000,top
"R402","56k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",4.540090,-75.438000,-90.000000,top
"R403","150R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.448000,-16.002000,90.000000,top
"R404","150R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.605000,-27.686000,90.000000,top
"U101","MCP3008-I/SL","SOIC-16_3.9x9.9mm_P1.27mm",9.144000,-39.878000,0.000000,top
"U102","ESP32-WROOM-32","ESP32-WROOM-32",16.002000,-10.160000,90.000000,top
"U103","MCP4822-E/SN","SOIC-8_3.9x4.9mm_P1.27mm",21.909000,-56.896000,0.000000,top
"U104","MCP4822-E/SN","SOIC-8_3.9x4.9mm_P1.27mm",21.909000,-51.308000,0.000000,top
"U105","MCP42010-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",5.969000,-64.516000,0.000000,top
"U106","MCP42010-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",5.969000,-54.102000,0.000000,top
"U201","MCP6004","SOIC-14_3.9x8.7mm_P1.27mm",21.909000,-43.815000,0.000000,top
"U301","MCP6004","SOIC-14_3.9x8.7mm_P1.27mm",21.909000,-64.516000,0.000000,top
"U401","NCP1117-5.0_SOT223","SOT-223-3_TabPin2",4.318000,-85.725000,90.000000,top
"U402","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",22.860000,-25.908000,180.000000,top
